full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
nishimoto265/Claude-Code-Communication,487,487,235,1,1,-1,https://github.com/nishimoto265/Claude-Code-Communication
21st-dev/1code,4661,4661,451,20,20,5,https://github.com/21st-dev/1code
centminmod/my-claude-code-setup,1772,1772,174,2,2,0,https://github.com/centminmod/my-claude-code-setup
rizethereum/claude-code-requirements-builder,1735,1735,172,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
andrepimenta/claude-code-chat,984,984,149,0,0,0,https://github.com/andrepimenta/claude-code-chat
EveryInc/compound-engineering-plugin,6872,6872,552,99,99,9,https://github.com/EveryInc/compound-engineering-plugin
ykdojo/claude-code-tips,1771,1771,113,24,24,1,https://github.com/ykdojo/claude-code-tips
darcyegb/ClaudeCodeAgents,508,508,47,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
winfunc/opcode,20301,20301,1575,12,12,2,https://github.com/winfunc/opcode
zed-industries/claude-code-acp,851,851,132,4,4,2,https://github.com/zed-industries/claude-code-acp
EnzeD/vibe-coding,3840,3840,1237,8,8,2,https://github.com/EnzeD/vibe-coding
steipete/claude-code-mcp,1047,1047,123,2,2,0,https://github.com/steipete/claude-code-mcp
Njengah/claude-code-cheat-sheet,1253,1253,152,3,3,0,https://github.com/Njengah/claude-code-cheat-sheet
slopus/happy,9938,9938,735,68,68,6,https://github.com/slopus/happy
peterkrueck/Claude-Code-Development-Kit,1295,1295,148,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
JessyTsui/Claude-Code-Remote,996,996,108,6,6,0,https://github.com/JessyTsui/Claude-Code-Remote
catlog22/Claude-Code-Workflow,1227,1227,101,7,7,0,https://github.com/catlog22/Claude-Code-Workflow
wasabeef/claude-code-cookbook,991,991,107,2,2,0,https://github.com/wasabeef/claude-code-cookbook
revfactory/claude-code-mastering,750,750,121,0,0,0,https://github.com/revfactory/claude-code-mastering
disler/claude-code-hooks-multi-agent-observability,935,935,288,1,1,1,https://github.com/disler/claude-code-hooks-multi-agent-observability
0xfurai/claude-code-subagents,671,671,129,1,1,1,https://github.com/0xfurai/claude-code-subagents
DmitrySolana/ralph-claude-code,1160,1160,97,1,1,0,https://github.com/DmitrySolana/ralph-claude-code
jarrodwatts/claude-code-config,890,890,104,1,1,0,https://github.com/jarrodwatts/claude-code-config
pchalasani/claude-code-tools,1336,1336,86,10,10,1,https://github.com/pchalasani/claude-code-tools
simonw/claude-code-transcripts,925,925,99,22,22,3,https://github.com/simonw/claude-code-transcripts
opactorai/Claudable,3721,3721,560,3,3,1,https://github.com/opactorai/Claudable
bfly123/claude_code_bridge,978,978,95,2,2,2,https://github.com/bfly123/claude_code_bridge
jeremylongshore/claude-code-plugins-plus-skills,1214,1214,151,7,7,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
anthropics/claude-plugins-official,5849,5849,577,309,309,10,https://github.com/anthropics/claude-plugins-official
numman-ali/openskills,7604,7604,517,72,72,6,https://github.com/numman-ali/openskills
kepano/obsidian-skills,8784,8784,468,75,75,8,https://github.com/kepano/obsidian-skills
zhukunpenglinyutong/idea-claude-code-gui,1054,1054,111,6,6,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
anthropics/claude-agent-sdk-demos,1316,1316,210,11,11,2,https://github.com/anthropics/claude-agent-sdk-demos
obra/superpowers,41057,41057,3121,462,462,38,https://github.com/obra/superpowers
alirezarezvani/claude-code-tresor,487,487,112,9,9,2,https://github.com/alirezarezvani/claude-code-tresor
anthropics/claude-agent-sdk-python,4462,4462,590,18,18,1,https://github.com/anthropics/claude-agent-sdk-python
ericbuess/claude-code-docs,656,656,97,5,5,0,https://github.com/ericbuess/claude-code-docs
upstash/context7,44306,44306,2121,89,89,1,https://github.com/upstash/context7
kn1026/cc,703,703,268,0,0,0,https://github.com/kn1026/cc
zsio/claude-code-hub,155,155,176,0,0,2,https://github.com/zsio/claude-code-hub
d-kimuson/claude-code-viewer,841,841,85,4,4,2,https://github.com/d-kimuson/claude-code-viewer
severity1/claude-code-prompt-improver,1100,1100,96,1,1,0,https://github.com/severity1/claude-code-prompt-improver
lyconear/Claude-Code,4,4,145,0,0,0,https://github.com/lyconear/Claude-Code
superdesigndev/superdesign,5830,5830,671,2,2,-1,https://github.com/superdesigndev/superdesign
greggh/claude-code.nvim,1778,1778,56,3,3,0,https://github.com/greggh/claude-code.nvim
BloopAI/vibe-kanban,19957,19957,1860,106,106,8,https://github.com/BloopAI/vibe-kanban
browser-use/browser-use,77528,77528,9177,60,60,3,https://github.com/browser-use/browser-use
anomalyco/opencode,93958,93958,8742,701,701,104,https://github.com/anomalyco/opencode
Matt-Dionis/claude-code-configs,612,612,79,0,0,0,https://github.com/Matt-Dionis/claude-code-configs
manzaltu/claude-code-ide.el,1309,1309,74,2,2,0,https://github.com/manzaltu/claude-code-ide.el
alirezarezvani/claude-skills,1499,1499,179,17,17,5,https://github.com/alirezarezvani/claude-skills
MadAppGang/claude-code,219,219,21,0,0,0,https://github.com/MadAppGang/claude-code
farion1231/cc-switch,15187,15187,936,148,148,7,https://github.com/farion1231/cc-switch
coleam00/context-engineering-intro,12303,12303,2585,5,5,4,https://github.com/coleam00/context-engineering-intro
carlvellotti/claude-code-pm-course,410,410,105,1,1,1,https://github.com/carlvellotti/claude-code-pm-course
code-yeongyu/oh-my-opencode,26554,26554,1928,294,294,30,https://github.com/code-yeongyu/oh-my-opencode
PleasePrompto/notebooklm-skill,3009,3009,292,34,34,9,https://github.com/PleasePrompto/notebooklm-skill
timothywarner-org/claude-code,194,194,19,0,0,0,https://github.com/timothywarner-org/claude-code
hesreallyhim/a-list-of-claude-code-agents,1160,1160,112,1,1,0,https://github.com/hesreallyhim/a-list-of-claude-code-agents
UfoMiao/zcf,5376,5376,378,8,8,0,https://github.com/UfoMiao/zcf
daaain/claude-code-log,677,677,60,4,4,1,https://github.com/daaain/claude-code-log
